"Source:","/home/decadenza/Desktop/OldStyleDigitalClock/KiCadProject/OldStyleDigitalClock.kicad_sch"
"Date:","Sun 18 May 2025 16:17:42 BST"
"Tool:","Eeschema 6.0.11+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","81"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Availability","Check_prices","Description","MF","MP","Package","Price","SnapEDA_Link"
"","","R30","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R31","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R32","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R33","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R34","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R35","100 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R_{C}1","10 MΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R_{S}1","300 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","SW1","Set minutes","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~","","","","","","","",""
"","","SW2","Set hours","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~","","","","","","","",""
"","","U1","D168K","Generic7SegmentLedCC:D168K","Display_7Segment:D1X8K","https://ia800903.us.archive.org/24/items/CTKD1x8K/Cromatek%20D168K.pdf","","","","","","","",""
"","","U2","CD4026BE","CD4026BE:CD4026BE","CD4026BE:DIP794W45P254L1969H508Q16","","","","","","","","",""
"","","U3","CD4060BE","CD4060BE:CD4060BE","CD4060BE:DIP794W45P254L1969H508Q16","","In Stock","https://www.snapeda.com/parts/CD4060BE/Texas+Instruments/view-part/?ref=eda","                            CMOS 14-Stage Ripple-Carry Binary Counter/Divider and Oscillator","Texas Instruments","CD4060BE","PDIP-16 Texas Instruments","None","https://www.snapeda.com/parts/CD4060BE/Texas+Instruments/view-part/?ref=snap"
"","","U4","D168K","Generic7SegmentLedCC:D168K","Display_7Segment:D1X8K","https://ia800903.us.archive.org/24/items/CTKD1x8K/Cromatek%20D168K.pdf","","","","","","","",""
"","","U5","CD4026BE","CD4026BE:CD4026BE","CD4026BE:DIP794W45P254L1969H508Q16","","","","","","","","",""
"","","U6","CD4017BE","CD4017BE:CD4017BE","CD4017BE:DIP794W45P254L1969H508Q16","","","","","","","","",""
"","","U7","CD4017BE","CD4017BE:CD4017BE","CD4017BE:DIP794W45P254L1969H508Q16","","","","","","","","",""
"","","U8","CD4017BE","CD4017BE:CD4017BE","CD4017BE:DIP794W45P254L1969H508Q16","","","","","","","","",""
"","","U9","4073","4xxx:4073","CD4073BE:DIP794W45P254L1969H508Q14","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4073bms-81bms-82bms.pdf","","","","","","","",""
"","","U10","D168K","Generic7SegmentLedCC:D168K","Display_7Segment:D1X8K","https://ia800903.us.archive.org/24/items/CTKD1x8K/Cromatek%20D168K.pdf","","","","","","","",""
"","","U11","CD4026BE","CD4026BE:CD4026BE","CD4026BE:DIP794W45P254L1969H508Q16","","","","","","","","",""
"","","U12","D168K","Generic7SegmentLedCC:D168K","Display_7Segment:D1X8K","https://ia800903.us.archive.org/24/items/CTKD1x8K/Cromatek%20D168K.pdf","","","","","","","",""
"","","U13","CD4026BE","CD4026BE:CD4026BE","CD4026BE:DIP794W45P254L1969H508Q16","","","","","","","","",""
"","","Y1","HC49 XTAL (32768 Hz)","Device:Crystal","Crystal:Crystal_AT310_D3.0mm_L10.0mm_Horizontal","~","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Availability","Check_prices","Description","MF","MP","Package","Price","SnapEDA_Link"
"1","3","BT1, BT2, BT3","1.2 V","Device:Battery_Cell","CustomLibrary:AA battery holder","~","","","","","","","",""
"2","11","C1, C2, C3, C7, C8, C9, C10, C11, C12, C13, C15","0.1 µF","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","","","","",""
"3","1","C4","10 µF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","",""
"4","1","C5","20 pF","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","","","","",""
